id,location,fault_severity,severity_type,resource_type,log_feature,volume,event_type
14121,location 118,1,severity_type 2,resource_type 2,feature 312,19,event_type 34
9320,location 91,0,severity_type 2,resource_type 2,feature 315,200,event_type 34
14394,location 152,1,severity_type 2,resource_type 2,feature 221,1,event_type 35
8218,location 931,1,severity_type 1,resource_type 8,feature 80,9,event_type 15
14804,location 120,0,severity_type 1,resource_type 2,feature 134,1,event_type 34
1080,location 664,0,severity_type 1,resource_type 8,feature 171,8,event_type 11
9731,location 640,0,severity_type 4,resource_type 2,feature 374,3,event_type 50
15505,location 122,0,severity_type 2,resource_type 2,feature 235,1,event_type 34
3443,location 263,1,severity_type 2,resource_type 2,feature 312,1,event_type 34
13300,location 613,1,severity_type 1,resource_type 8,feature 71,1,event_type 54
8976,location 760,1,severity_type 1,resource_type 8,feature 136,1,event_type 11
7965,location 519,0,severity_type 2,resource_type 2,feature 312,1,event_type 34
10342,location 746,0,severity_type 1,resource_type 2,feature 134,3,event_type 11
6741,location 1066,1,severity_type 1,resource_type 8,feature 68,5,event_type 11
7187,location 812,0,severity_type 1,resource_type 8,feature 167,5,event_type 11
16780,location 343,0,severity_type 2,resource_type 2,feature 232,1,event_type 34
14195,location 133,0,severity_type 2,resource_type 2,feature 312,1,event_type 35
14025,location 976,0,severity_type 1,resource_type 8,feature 82,6,event_type 54
8548,location 948,1,severity_type 1,resource_type 8,feature 163,2,event_type 11
9566,location 808,0,severity_type 1,resource_type 8,feature 71,4,event_type 11
15652,location 894,0,severity_type 1,resource_type 2,feature 378,6,event_type 44
3931,location 875,0,severity_type 1,resource_type 8,feature 202,2,event_type 11
4557,location 1024,0,severity_type 2,resource_type 8,feature 73,1,event_type 11
3610,location 166,0,severity_type 4,resource_type 2,feature 312,1,event_type 35
16574,location 687,0,severity_type 4,resource_type 8,feature 54,1,event_type 11
7504,location 1016,1,severity_type 1,resource_type 8,feature 170,1,event_type 11
9735,location 707,0,severity_type 2,resource_type 8,feature 193,4,event_type 15
14048,location 978,1,severity_type 1,resource_type 8,feature 201,2,event_type 15
6769,location 775,0,severity_type 1,resource_type 8,feature 203,3,event_type 15
2514,location 829,0,severity_type 2,resource_type 8,feature 55,5,event_type 11
896,location 732,0,severity_type 1,resource_type 8,feature 55,1,event_type 11
4757,location 508,0,severity_type 2,resource_type 2,feature 312,7,event_type 35
16358,location 257,1,severity_type 1,resource_type 2,feature 134,1,event_type 20
11810,location 116,0,severity_type 2,resource_type 2,feature 232,2,event_type 34
7274,location 830,1,severity_type 1,resource_type 8,feature 68,1,event_type 11
2972,location 491,0,severity_type 2,resource_type 2,feature 235,2,event_type 34
7392,location 253,0,severity_type 2,resource_type 2,feature 232,2,event_type 35
6824,location 740,0,severity_type 2,resource_type 8,feature 195,1,event_type 11
4311,location 704,2,severity_type 1,resource_type 8,feature 74,1,event_type 15
12261,location 1089,2,severity_type 1,resource_type 8,feature 170,11,event_type 11
14752,location 653,0,severity_type 2,resource_type 8,feature 76,1,event_type 11
14992,location 600,2,severity_type 2,resource_type 8,feature 203,1,event_type 15
967,location 892,2,severity_type 1,resource_type 2,feature 291,5,event_type 42
8059,location 802,0,severity_type 4,resource_type 7,feature 306,2,event_type 23
13406,location 794,0,severity_type 1,resource_type 4,feature 163,3,event_type 14
11424,location 477,0,severity_type 2,resource_type 2,feature 235,1,event_type 35
3945,location 684,2,severity_type 2,resource_type 8,feature 71,1,event_type 15
10351,location 895,2,severity_type 1,resource_type 2,feature 375,49,event_type 42
2272,location 496,0,severity_type 2,resource_type 2,feature 307,1,event_type 35
10752,location 321,1,severity_type 2,resource_type 2,feature 312,2,event_type 34
17096,location 1107,2,severity_type 1,resource_type 8,feature 71,144,event_type 15
17314,location 1086,2,severity_type 2,resource_type 8,feature 82,16,event_type 15
12770,location 895,1,severity_type 1,resource_type 2,feature 290,2,event_type 42
3304,location 1099,1,severity_type 2,resource_type 8,feature 81,5,event_type 11
9012,location 975,0,severity_type 1,resource_type 2,feature 134,1,event_type 20
9928,location 1019,2,severity_type 2,resource_type 8,feature 203,22,event_type 15
297,location 812,2,severity_type 1,resource_type 8,feature 55,11,event_type 10
5751,location 342,0,severity_type 2,resource_type 2,feature 232,3,event_type 35
17692,location 744,1,severity_type 2,resource_type 8,feature 54,1,event_type 14
3688,location 181,0,severity_type 4,resource_type 2,feature 313,1,event_type 35
3425,location 1086,1,severity_type 2,resource_type 8,feature 203,3,event_type 15
7871,location 1052,1,severity_type 1,resource_type 8,feature 203,4,event_type 15
10013,location 696,0,severity_type 2,resource_type 8,feature 54,1,event_type 11
13832,location 1008,1,severity_type 2,resource_type 8,feature 80,1,event_type 15
11743,location 798,1,severity_type 2,resource_type 8,feature 82,12,event_type 15
10099,location 760,1,severity_type 1,resource_type 8,feature 170,21,event_type 11
16682,location 777,1,severity_type 2,resource_type 8,feature 203,1,event_type 15
10156,location 95,1,severity_type 2,resource_type 2,feature 232,1,event_type 35
16154,location 699,0,severity_type 5,resource_type 2,feature 360,1,event_type 54
14176,location 272,1,severity_type 1,resource_type 2,feature 134,1,event_type 35
14964,location 704,2,severity_type 2,resource_type 8,feature 201,1,event_type 15
12896,location 613,2,severity_type 1,resource_type 8,feature 203,7,event_type 54
7288,location 846,2,severity_type 2,resource_type 8,feature 203,18,event_type 15
15882,location 795,0,severity_type 1,resource_type 8,feature 101,53,event_type 11
12441,location 826,1,severity_type 1,resource_type 7,feature 223,3,event_type 13
17248,location 112,0,severity_type 2,resource_type 8,feature 181,1,event_type 11
16745,location 778,0,severity_type 2,resource_type 8,feature 80,1,event_type 15
5315,location 810,0,severity_type 1,resource_type 8,feature 193,1,event_type 11
17118,location 895,1,severity_type 1,resource_type 2,feature 283,1,event_type 42
7725,location 690,0,severity_type 1,resource_type 8,feature 73,2,event_type 11
2311,location 494,0,severity_type 1,resource_type 8,feature 117,1,event_type 20
4292,location 1095,0,severity_type 2,resource_type 8,feature 77,1,event_type 11
