fault_severity,location,log_feature,volume,event_type
0,469,143,7,23
0,749,64,8,1
0,137,101,5,22
0,283,93,1,23
0,463,145,3,22
0,787,213,14,5
0,166,143,14,22
0,841,202,4,40
0,822,190,1,1
0,453,138,1,23
0,436,143,2,23
0,20,143,1,23
0,461,145,4,22
0,135,98,1,22
0,135,99,6,23
0,216,143,3,22
0,569,74,5,5
0,172,143,6,22
0,323,144,1,22
0,417,144,1,23
0,850,143,1,22
0,648,205,8,11
0,65,48,1,3
0,282,143,3,23
0,469,140,1,22
0,146,98,7,22
0,288,98,2,22
0,480,98,14,22
0,624,49,8,1
0,136,143,1,22
0,657,189,1,1
0,460,144,1,23
0,695,153,4,1
0,825,201,3,1
0,504,98,10,22
0,649,189,1,1
0,652,65,2,1
0,655,48,1,1
0,752,202,3,5
0,292,143,3,23
0,236,143,1,22
0,137,99,2,22
0,739,213,18,5
0,139,99,7,22
0,103,203,2,1
0,189,146,2,22
0,457,99,1,23
0,433,98,7,22
0,502,101,1,23
0,746,201,2,1
0,7,72,5,1
0,141,99,2,23
0,506,144,1,23
0,25,203,1,1
0,272,144,1,23
0,135,99,7,23
0,47,48,1,1
0,155,98,2,22
0,729,137,1,11
0,467,141,6,23
0,492,99,1,23
0,246,143,20,22
0,592,137,1,11
0,144,143,1,23
0,163,143,3,23
0,139,146,4,22
0,491,146,1,22
0,614,74,2,5
0,749,202,2,1
0,131,98,13,22
0,135,144,4,23
0,869,21,1,8
0,756,190,2,1
0,749,64,2,5
0,467,141,29,22
0,110,21,1,8
0,453,143,14,22
0,659,213,2,5
0,135,98,10,23
0,139,101,3,22
0,139,146,2,22
0,137,143,6,23
0,734,65,8,1
0,840,170,1,30
0,453,143,3,23
0,469,98,1,23
0,193,143,1,23
0,480,145,17,23
0,761,189,1,1
0,469,140,3,23
0,19,211,2,5
0,850,143,3,23
0,764,64,1,1
0,172,143,2,23
0,8,213,8,5
0,491,144,8,22
0,456,99,4,23
0,292,144,1,23
0,503,101,1,22
0,189,143,1,23
0,844,137,2,11
0,42,213,12,5
0,787,213,20,5
0,20,94,3,23
0,456,98,5,22
0,491,146,3,22
0,140,143,6,22
0,394,132,2,23
0,453,143,12,22
0,756,63,2,1
0,656,49,3,1
0,686,206,1,1
0,835,127,22,28
0,8,213,1,5
0,506,98,4,23
0,356,143,3,23
0,911,74,10,5
0,135,143,3,22
0,465,100,13,23
0,771,49,1,1
0,244,98,2,23
0,461,145,25,23
0,214,146,1,23
0,659,64,2,1
0,139,101,1,23
0,732,137,1,11
0,734,65,3,1
0,506,143,3,23
0,749,64,3,1
0,690,204,1,1
0,592,137,2,11
0,467,139,29,23
0,131,143,20,22
0,893,49,1,1
0,139,144,6,23
0,860,213,4,5
0,883,203,3,1
0,139,144,7,23
0,285,93,1,22
0,764,64,1,5
0,750,202,2,5
0,756,63,2,1
0,452,93,1,22
0,490,98,4,23
0,705,189,1,1
0,735,183,3,4
0,246,143,4,23
0,479,143,4,23
